yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,CRSP_SPvw,CRSP_SPvwx
187101,4.4400000000000004,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187102,4.5,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,4.967421451620109E-3,NaN,NaN,NaN,NaN,NaN,NaN
187103,4.6100000000000003,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,4.5246631618010048E-3,NaN,NaN,NaN,NaN,NaN,NaN
187104,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,4.2516288830792238E-3,NaN,NaN,NaN,NaN,NaN,NaN
187105,4.8600000000000003,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,4.642732039086099E-3,NaN,NaN,NaN,NaN,NaN,NaN
187106,4.82,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,3.6981810208053432E-3,NaN,NaN,NaN,NaN,NaN,NaN
187107,4.7300000000000004,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,3.3734916082713328E-3,NaN,NaN,NaN,NaN,NaN,NaN
187108,4.79,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,3.2554227309862386E-3,NaN,NaN,NaN,NaN,NaN,NaN
187109,4.84,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,3.7129396304659795E-3,NaN,NaN,NaN,NaN,NaN,NaN
187110,4.59,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,4.5541803811222784E-3,NaN,NaN,NaN,NaN,NaN,NaN
187111,4.6399999999999997,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,7.0410061089395803E-3,NaN,NaN,NaN,NaN,NaN,NaN
187112,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,6.4875582466657009E-3,NaN,NaN,NaN,NaN,NaN,NaN
187201,4.8600000000000003,0.26329999999999998,0.40250000000000002,NaN,NaN,NaN,NaN,NaN,NaN,6.9745923654667159E-3,NaN,NaN,NaN,NaN,NaN,NaN
187202,4.88,0.26669999999999999,0.40500000000000003,NaN,NaN,NaN,NaN,NaN,NaN,5.7643863732944976E-3,NaN,NaN,NaN,NaN,NaN,NaN
187203,5.04,0.27,0.40749999999999997,NaN,NaN,NaN,NaN,NaN,NaN,5.2183178158509346E-3,NaN,NaN,NaN,NaN,NaN,NaN
187204,5.18,0.27329999999999999,0.41,NaN,NaN,NaN,NaN,NaN,NaN,6.0005241278646851E-3,NaN,NaN,NaN,NaN,NaN,NaN
187205,5.18,0.2767,0.41249999999999998,NaN,NaN,NaN,NaN,NaN,NaN,6.0300413471859604E-3,NaN,NaN,NaN,NaN,NaN,NaN
187206,5.13,0.28000000000000003,0.41499999999999998,NaN,NaN,NaN,NaN,NaN,NaN,4.9526628419594718E-3,NaN,NaN,NaN,NaN,NaN,NaN
187207,5.0999999999999996,0.2833,0.41749999999999998,NaN,NaN,NaN,NaN,NaN,NaN,4.0671462623212635E-3,NaN,NaN,NaN,NaN,NaN,NaN
187208,5.04,0.28670000000000001,0.42,NaN,NaN,NaN,NaN,NaN,NaN,4.3992149796855924E-3,NaN,NaN,NaN,NaN,NaN,NaN
187209,4.95,0.28999999999999998,0.42249999999999999,NaN,NaN,NaN,NaN,NaN,NaN,5.2183178158509346E-3,NaN,NaN,NaN,NaN,NaN,NaN
187210,4.97,0.29330000000000001,0.42499999999999999,NaN,NaN,NaN,NaN,NaN,NaN,7.0188681944486266E-3,NaN,NaN,NaN,NaN,NaN,NaN
187211,4.95,0.29670000000000002,0.42749999999999999,NaN,NaN,NaN,NaN,NaN,NaN,7.6092125808741003E-3,NaN,NaN,NaN,NaN,NaN,NaN
187212,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,8.2143155769602086E-3,NaN,NaN,NaN,NaN,NaN,NaN
187301,5.1100000000000003,0.30249999999999999,0.4325,NaN,NaN,NaN,NaN,NaN,NaN,7.631350495365054E-3,NaN,NaN,NaN,NaN,NaN,NaN
187302,5.15,0.30499999999999999,0.435,NaN,NaN,NaN,NaN,NaN,NaN,6.4875582466657009E-3,NaN,NaN,NaN,NaN,NaN,NaN
187303,5.1100000000000003,0.3075,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,6.5613512949688852E-3,NaN,NaN,NaN,NaN,NaN,NaN
187304,5.04,0.31,0.44,NaN,NaN,NaN,NaN,NaN,NaN,7.1074198524124464E-3,NaN,NaN,NaN,NaN,NaN,NaN
187305,5.05,0.3125,0.4425,NaN,NaN,NaN,NaN,NaN,NaN,8.0519708706932036E-3,NaN,NaN,NaN,NaN,NaN,NaN
187306,4.9800000000000004,0.315,0.44500000000000001,NaN,NaN,NaN,NaN,NaN,NaN,5.6315588863487653E-3,NaN,NaN,NaN,NaN,NaN,NaN
187307,4.97,0.3175,0.44750000000000001,NaN,NaN,NaN,NaN,NaN,NaN,4.6796285632376916E-3,NaN,NaN,NaN,NaN,NaN,NaN
187308,4.97,0.32,0.45,NaN,NaN,NaN,NaN,NaN,NaN,4.3918356748552734E-3,NaN,NaN,NaN,NaN,NaN,NaN
187309,4.59,0.32250000000000001,0.45250000000000001,NaN,NaN,NaN,NaN,NaN,NaN,4.8493525743350148E-3,NaN,NaN,NaN,NaN,NaN,NaN
187310,4.1900000000000004,0.32500000000000001,0.45500000000000002,NaN,NaN,NaN,NaN,NaN,NaN,1.0177210661824903E-2,NaN,NaN,NaN,NaN,NaN,NaN
187311,4.04,0.32750000000000001,0.45750000000000002,NaN,NaN,NaN,NaN,NaN,NaN,1.1815416334155591E-2,NaN,NaN,NaN,NaN,NaN,NaN
187312,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,1.033955536809191E-2,NaN,NaN,NaN,NaN,NaN,NaN
187401,4.66,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,6.871282097842258E-3,NaN,NaN,NaN,NaN,NaN,NaN
187402,4.8,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,5.1297661578871149E-3,NaN,NaN,NaN,NaN,NaN,NaN
187403,4.7300000000000004,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,4.0671462623212635E-3,NaN,NaN,NaN,NaN,NaN,NaN
187404,4.5999999999999996,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,4.1704565299457205E-3,NaN,NaN,NaN,NaN,NaN,NaN
187405,4.4800000000000004,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,4.2516288830792238E-3,NaN,NaN,NaN,NaN,NaN,NaN
187406,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.8162498980904378E-3,NaN,NaN,NaN,NaN,NaN,NaN
187407,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.7424568497872531E-3,NaN,NaN,NaN,NaN,NaN,NaN
187408,4.47,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.7793533739388461E-3,NaN,NaN,NaN,NaN,NaN,NaN
187409,4.54,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,3.6539051918234328E-3,NaN,NaN,NaN,NaN,NaN,NaN
