"yyyymm","Index","D12","E12","b/m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx"
"187101","4.44","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187102","4.50","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.004967","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187103","4.61","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.004525","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187104","4.74","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.004252","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187105","4.86","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.004643","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187106","4.82","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.003698","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187107","4.73","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.003373","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187108","4.79","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.003255","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187109","4.84","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.003713","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187110","4.59","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.004554","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187111","4.64","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.007041","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187112","4.74","0.2600","0.4000","NaN","NaN","NaN","NaN","NaN","NaN","0.006488","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187201","4.86","0.2633","0.4025","NaN","NaN","NaN","NaN","NaN","NaN","0.006975","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187202","4.88","0.2667","0.4050","NaN","NaN","NaN","NaN","NaN","NaN","0.005764","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187203","5.04","0.2700","0.4075","NaN","NaN","NaN","NaN","NaN","NaN","0.005218","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187204","5.18","0.2733","0.4100","NaN","NaN","NaN","NaN","NaN","NaN","0.006001","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187205","5.18","0.2767","0.4125","NaN","NaN","NaN","NaN","NaN","NaN","0.006030","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187206","5.13","0.2800","0.4150","NaN","NaN","NaN","NaN","NaN","NaN","0.004953","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187207","5.10","0.2833","0.4175","NaN","NaN","NaN","NaN","NaN","NaN","0.004067","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187208","5.04","0.2867","0.4200","NaN","NaN","NaN","NaN","NaN","NaN","0.004399","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"187209","4.95","0.2900","0.4225","NaN","NaN","NaN","NaN","NaN","NaN","0.005218","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
