"vintage","pred","paper","vw_log","vw_simple","vwx_log","idx_log"
"goyal-welch-monthly.csv","dp",0.5099,0.227,0.098,0.536,0.498
"goyal-welch-monthly.csv","dy",0.1492,0.14,0.062,0.366,0.338
"goyal-welch-monthly.csv","ep",0.1716,0.057,0.056,0.167,0.169
"goyal-welch-monthly.csv","de",0.6025,0.666,0.94,0.58,0.613
"goyal-welch-monthly.csv","svar",0.7712,0.809,0.871,0.769,0.783
"goyal-welch-monthly.csv","bm",0.5939,0.329,0.204,0.529,0.524
"goyal-welch-monthly.csv","ntis",0.2339,0.202,0.164,0.208,0.231
"goyal-welch-monthly.csv","tbl",0.073,0.084,0.048,0.068,0.065
"goyal-welch-monthly.csv","lty",0.0543,0.083,0.058,0.061,0.056
"goyal-welch-monthly.csv","ltr",0.1639,0.151,0.118,0.145,0.143
"goyal-welch-monthly.csv","tms",0.5132,0.448,0.319,0.457,0.469
"goyal-welch-monthly.csv","dfy",0.9962,0.921,0.571,0.985,0.985
"goyal-welch-monthly.csv","dfr",0.3943,0.394,0.499,0.398,0.4
"goyal-welch-monthly.csv","infl",0.1113,0.26,0.162,0.242,0.204
"goyal-welch-monthly-2021.csv","dp",0.5099,0.227,0.098,0.536,0.498
"goyal-welch-monthly-2021.csv","dy",0.1492,0.14,0.062,0.366,0.338
"goyal-welch-monthly-2021.csv","ep",0.1716,0.057,0.056,0.167,0.169
"goyal-welch-monthly-2021.csv","de",0.6025,0.666,0.94,0.58,0.613
"goyal-welch-monthly-2021.csv","svar",0.7712,0.809,0.871,0.769,0.783
"goyal-welch-monthly-2021.csv","bm",0.5939,0.353,0.22,0.56,0.557
"goyal-welch-monthly-2021.csv","ntis",0.2339,0.202,0.164,0.208,0.231
"goyal-welch-monthly-2021.csv","tbl",0.073,0.084,0.048,0.068,0.065
"goyal-welch-monthly-2021.csv","lty",0.0543,0.083,0.058,0.061,0.056
"goyal-welch-monthly-2021.csv","ltr",0.1639,0.151,0.118,0.145,0.143
"goyal-welch-monthly-2021.csv","tms",0.5132,0.448,0.319,0.457,0.469
"goyal-welch-monthly-2021.csv","dfy",0.9962,0.921,0.571,0.985,0.985
"goyal-welch-monthly-2021.csv","dfr",0.3943,0.394,0.499,0.398,0.4
"goyal-welch-monthly-2021.csv","infl",0.1113,0.26,0.162,0.242,0.204
