"pred","rwb_left_paper","rwb_right_paper","rwb_two_paper","ew_left_paper","ew_right_paper","ew_two_paper","b_ols_paper","b_ivx_paper","rho_paper","delta_paper","rwb_left_ivx","rwb_right_ivx","rwb_two_ivx","ew_left_ivx","ew_right_ivx","ew_two_ivx","b_ols_ivx","b_ivx_ivx","rho_ivx","delta_ivx","rwb_left_diff","rwb_right_diff","rwb_two_diff","ew_left_diff","ew_right_diff","ew_two_diff","b_ols_diff","b_ivx_diff","rho_diff","delta_diff"
"dp",0.5366,0.4634,0.6124,0.745,0.255,0.5099,0.002,0.003,0.994,-0.98,0.523261630815408,0.476738369184592,0.640820410205102,0.732176218104241,0.267823781895759,0.535647563791519,0.00167448714025451,0.00283176595284371,1.00019184547215,-0.978000331352863,-0.0133383691845923,0.0133383691845923,0.0284204102051024,-0.0128237818957593,0.0128237818957593,0.0257475637915185,-0.000325512859745486,-0.000168234047156291,0.00619184547215301,0.00199966864713685
"dy",0.8355,0.1645,0.2868,0.9254,0.0746,0.1492,0,0,1.006,-0.06,0.770385192596298,0.229614807403702,0.43671835917959,0.817158585499602,0.182841414500398,0.365682829000797,0.00275672249711881,0.00428224595184375,1.00018568739194,-0.0761121841469911,-0.0651148074037019,0.0651148074037018,0.14991835917959,-0.108241414500398,0.108241414500398,0.216482829000797,0.00275672249711881,0.00428224595184375,-0.00581431260805587,-0.0161121841469911
"ep",0.8271,0.1729,0.2719,0.9142,0.0858,0.1716,0.005,0.006,0.989,-0.767,0.827913956978489,0.172086043021511,0.268634317158579,0.916714439065028,0.0832855609349716,0.166571121869943,0.00472207912965776,0.0058497094610041,1.00016535339207,-0.765261364615738,0.000813956978489294,-0.000813956978489239,-0.0032656828414207,0.00251443906502835,-0.00251443906502836,-0.00502887813005673,-0.000277920870342245,-0.000150290538995896,0.0111653533920687,0.00173863538426178
"de",0.2236,0.7764,0.4647,0.3013,0.6987,0.6025,-0.004,-0.004,0.991,-0.073,0.19959979989995,0.80040020010005,0.415207603801901,0.289841630561943,0.710158369438057,0.579683261123886,-0.00437009768399167,-0.00436156137331945,0.998110925899373,-0.071088514762156,-0.02400020010005,0.02400020010005,-0.049492396198099,-0.0114583694380568,0.0114583694380568,-0.0228167388761136,-0.000370097683991671,-0.000361561373319449,0.00711092589937279,0.00191148523784396
"svar",0.3511,0.6489,0.7107,0.3856,0.6144,0.7712,-0.159,-0.189,0.577,-0.297,0.377188594297149,0.622811405702851,0.739369684842421,0.384607408222225,0.615392591777775,0.76921481644445,-0.161042615244412,-0.192089015412987,0.656573473163073,-0.291403311738014,0.0260885942971485,-0.0260885942971486,0.0286696848424212,-0.000992591777775054,0.000992591777775109,-0.00198518355555011,-0.00204261524441193,-0.00308901541298665,0.0795734731630732,0.00559668826198606
"bm",0.672,0.328,0.453,0.7181,0.2819,0.5939,0.008,0.007,0.987,-0.821,0.680340170085043,0.319659829914958,0.425212606303152,0.735645873270609,0.264354126729391,0.528708253458781,0.00843725586205292,0.00752045155167869,0.997343866118077,-0.830118898735988,0.00834017008504251,-0.00834017008504251,-0.0277873936968485,0.0175458732706094,-0.0175458732706094,-0.0651917465412187,0.000437255862052925,0.000520451551678691,0.0103438661180766,-0.00911889873598759
"ntis",0.0784,0.9216,0.1609,0.117,0.883,0.2339,-0.142,-0.141,0.981,-0.047,0.0700350175087544,0.929964982491246,0.146573286643322,0.104170833444617,0.895829166555383,0.208341666889234,-0.150190520016147,-0.148151078631962,0.985723801727652,-0.0386280778110163,-0.00836498249124562,0.00836498249124562,-0.0143267133566783,-0.0128291665553831,0.012829166555383,-0.0255583331107661,-0.0081905200161469,-0.00715107863196165,0.00472380172765174,0.00837192218898375
"tbl",0.034,0.966,0.0874,0.0365,0.9635,0.073,-0.001,-0.001,0.994,-0.053,0.0380190095047524,0.961980990495248,0.0910455227613807,0.034096334971593,0.965903665028407,0.0681926699431858,-0.090652395263591,-0.0956890563733187,0.99663081365328,-0.0561835775842739,0.00401900950475238,-0.00401900950475231,0.00364552276138068,-0.00240366502840703,0.00240366502840705,-0.00480733005681415,-0.089652395263591,-0.0946890563733187,0.00263081365328044,-0.00318357758427391
"lty",0.0278,0.9722,0.0703,0.0272,0.9728,0.0543,-0.001,-0.001,0.997,-0.088,0.0275137568784392,0.972486243121561,0.0785392696348174,0.0305006313201958,0.969499368679804,0.0610012626403915,-0.0753727630653654,-0.0950663772756456,0.998962100450518,-0.0877640696886569,-0.000286243121560777,0.000286243121560781,0.0082392696348174,0.00330063132019576,-0.00330063132019576,0.00670126264039152,-0.0743727630653654,-0.0940663772756456,0.00196210045051837,0.000235930311343141
"ltr",0.9176,0.0824,0.1707,0.918,0.082,0.1639,0.001,0.001,0.043,0.055,0.927463731865933,0.072536268134067,0.142071035517759,0.927630664504087,0.0723693354959134,0.144738670991827,0.100510804290046,0.0998812000034036,0.0789468942449167,0.0560093301527943,0.00986373186593303,-0.00986373186593296,-0.0286289644822411,0.00963066450408656,-0.0096306645040866,-0.0191613290081732,0.0995108042900458,0.0988812000034036,0.0359468942449167,0.00100933015279429
